hour,avg_temp_f
0,64.7290404040404
1,64.06085858585858
2,63.47676767676767
3,62.948484848484846
4,62.51843434343434
5,62.097727272727276
6,61.734848484848484
7,62.0
8,62.575
9,64.8631313131313
10,67.83181818181818
11,70.75833333333333
12,73.31868686868687
13,75.46388888888889
14,76.80606060606061
15,77.34166666666667
16,77.0709595959596
17,76.17146464646466
18,74.50025252525252
19,70.65858585858585
20,68.84974747474747
21,67.37424242424242
22,66.23409090909091
23,65.34116161616161
