month,avg_temp_f,total_precip_in,avg_humidity_pct,avg_wind_speed_mph,max_wind_gust_mph
2022-01,51.32204301075269,6.509,67.48252688172043,7.621236559139785,39.8
2022-02,50.624702380952385,2.941,73.95833333333333,8.23392857142857,39.4
2022-03,60.02970430107527,5.788,71.35887096774194,8.5747311827957,44.3
2022-04,71.32986111111111,3.346,71.13472222222222,9.813611111111111,43.8
2022-05,79.40174731182796,3.458,73.56317204301075,8.8247311827957,40.9
2022-06,84.49041666666666,2.034,68.4875,6.682499999999999,30.4
2022-07,84.822311827957,3.344,73.30510752688173,6.252150537634409,29.1
2022-08,82.01545698924731,8.354000000000001,80.31586021505376,5.461424731182796,28.2
2022-09,78.91888888888889,1.971,71.03888888888889,4.759027777777778,25.3
2022-10,70.46881720430108,4.803,62.178763440860216,6.689516129032258,41.4
2022-11,59.55666666666667,10.97,78.8625,7.337777777777777,36.5
2022-12,56.34220430107527,6.762,76.07795698924731,7.248790322580645,42.5
2023-01,57.29448924731182,8.5,77.85483870967742,8.059408602150537,42.5
